quote,date,place,occasion,publish,remarks
"I think if this country gets any kinder or gentler, it's literally going to cease to exist.",1990.03,,,Playboy,
I think my positions are going to be what the people in this room come up with.,,,,,
"I think the big problem this country has is being politically correct. I've been challenged by so many people and I don't, frankly, have time for total political correctness.",2015.08.06,,,Fox News Republican debate,
I think the only difference between me and other candidates is that I'm more honest and my women are more beautiful.,,,,,
"I think Viagra is wonderful if you need it, if you have medical issues, if you've had surgery. I've just never needed it. Frankly, I wouldn't mind if there were an anti-Viagra, something with the opposite effect. I'm not bragging. I'm just lucky. I don't need it.",2004.10,,,Playboy,
"I try to learn from the past, but I plan for the future by focusing exclusively on the present. That's where the fun is.",,,,,
I tweet way too much because I truly care.,,,,,
I was a great student. I was good at everything.,,,,,
"I will be phenomenal to the women. I mean, I want to help women.",2015.08.09,,,Face the Nation,
I will be the greatest jobs president that God ever created.,,,,,
"I will build a great, great wall on our southern border, and I will have Mexico pay for that wall. Mark my words.",2015.06.15,,Compaign launch rally,,
"I will fight for you with every breath in my body - and I will never, ever let you down.",,,,,
I win at golf. I'm a club champion many times at different clubs. I win at golf. I can sink the three-footer on the 18th hole when others can't.,,,,,
I won't do anything to take care of them. I'll supply funds and she'll take care of the kids. It's not like I'm gonna be walking the kids down Central Park.,2005,,,Howard Stern Interview,
I would bet if you took a poll in the FBI I would win that poll by more than anybody's won a poll.,2018.06.15,,,Fox & Friends,
I would give myself an A+.,,,,,
"I wouldn't mind a little bow. In Japan, they bow. I love it. Only thing I love about Japan.",,,,,
"I'll drink water. Sometimes tomato juice, which I like. Sometimes orange juice, which I like. I'll drink different things. But the Coke or Pepsi boosts you up a little.",,,,,
"I'm a negotiator, like you folks.",2015.12.03,,Speech to the Republican Jewish Coalition,,
I'm automatically attracted to beautiful women – I just start kissing them.,,,,,
"I'm intelligent. Some people would say I'm very, very, very intelligent.",2000.04.03,,,Fortune,
"I'm much richer than people think, and I'm much smarter.",,,,,
I'm the Ernest Hemingway of 140 characters.,,,,,
I'm the least racist person you have ever interviewed.,2018.01.14,,,,
"I'm the most successful person ever to run for the presidency, by far. Nobody's ever been more successful than me. I'm the most successful person ever to run. Ross Perot isn't successful like me. Romney - I have a Gucci store that's worth more than Romney.",2015.06.02,,,Des Moines Register,
"I've always won, and I'm going to continue to win. And that's the way it is.",,,,,
If Hillary Clinton can't satisfy her husband what makes her think she can satisfy America?,2015.04.16,,,Twitter,
"If I were a liberal Democrat, people would say I'm the super genius of all time. The super genius of all time. If you're a conservative Republican, you've got to fight for your life. It's really an amazing thing.",,,,,
"If you look at President Obama and other presidents, most of them didn't make calls. A lot of them didn't make calls. I like to call when it's appropriate.",2018.01.02,,,Twitter,
"If you look at Saddam Hussein, he killed terrorists. I'm not saying he was an angel, but this guy killed terrorists.",2006,,,The Big Idea with Donny Deutsch,
"If you're going to be thinking, you may as well think big.",,,,,
"If you're interested in 'balancing' work and pleasure, stop trying to balance them. Instead make your work more pleasurable.",,,,,
Immigration reform should mean something.,,,,,
"In leadership, you need unwavering faith.",,,,,
"In life you have to rely on the past, and that's called history.",,,,Celebrity Apprentice,
"In the end, you're measured not by how much you undertake but by what you finally accomplish.",,,,,
"It is time to remember that old wisdom our soldiers will never forget: that whether we are black or brown or white, we all bleed the same red blood of patriots, we all enjoy the same glorious freedoms, and we all salute the same great American Flag.",,,,,
It's always good to be underestimated.,,,,,
It's freezing and snowing in New York – we need global warming!,,,,,
"It's idealistic, it's wonderful, it's a beautiful thing.",,,,,
"It's like in golf... A lot of people - I don't want this to sound trivial - but a lot of people are switching to these really long putters, very unattractive... it's weird. You see these great players with these really long putters, because they can't sink three-footers anymore. And, I hate it. I am a traditionalist. I have so many fabulous friends who happen to be gay, but I am a traditionalist.",2011.05.01,,,New York Times,
"It's not whether you win or lose, but whether you win!",,,,,
"It's really cold outside, they are calling it a major freeze, weeks ahead of normal. Man, we could use a big fat dose of global warming!",2015.10.19,,,Twitter,
"It's tangible, it's solid, it's beautiful. It's artistic, from my standpoint, and I just love real estate.",,,,,
"January 20, 2025 will forever be remembered by all Americans as Liberation Day.",2025.01.20,,,,
"Jeb said, 'we were safe with my brother. We were safe.' Well, the World Trade Center just fell down! Now, am I trying to blame him? I'm not blaming anybody. But the World Trade Center came down. So when he said, we were safe, that's not safe.",2015.10.18,,,Fox News Sunday,
"Just tried watching Modern Family - written by a moron, really boring. Writer has the mind of a very dumb and backward child. Sorry Danny!",2013.06.13,,,Twitter,
"Leaders are made, they are not born.",,,,,
Leaders instill in their people a hope for success and a belief in themselves. Positive leaders empower people to accomplish their goals.,,,,,
"Leadership is not about titles, positions, or flowcharts. It is about one life influencing another.",,,,,
Learn from your success and build your brand every day.,,,,,
"Leave no stone unturned, that's my philosophy.",,,,,
Look at my African American over here! Look at him.,,,,,
Look at my African-American!,2016.06.03,"Redding, California",,,
"Marketing is not about selling anymore, but about building trust and educating.",,,,,
"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.",,,,,
My favourite part [of Pulp Fiction] is when Sam has his gun out in the diner and he tells the guy to tell his girlfriend to shut up. 'Tell that bitch to be cool. Say: Bitch be cool.' I love those lines.,2005,,,"As quoted in TrumpNation: The Art of Being the Donald,",
"My fingers are long and beautiful, as, it has been well documented, are various other parts of my body.",2011,,,New York Post,
My IQ is one of the highest—and you all know it! Please don't feel so stupid or insecure; it's not your fault.,,,,,
"My whole life has been heat. I like heat, in a certain way.",,,,,
My whole life is about winning. I don't lose often. I almost never lose.,,,,,
No collusion.,,,,,
"No matter what you do - guns, no guns - it doesn't matter. You have people that are mentally ill. And they're gonna come through the cracks. And they're going to do things that people will not even believe are possible.",2015.10.04,,,Meet the Press,
Nobody has better respect for intelligence than Donald Trump.,2017.08.11,,,CNN,
Nobody has ever done so much in the first two years of a presidency as this administration. Nobody. Nobody.,,,,,
Nobody has more respect for women than I do.,,,,,
Nobody knew health care could be so complicated.,2017.02.27,,,Washington Post,
"Not so long ago, during the election campaign, I was targeted in an attempted assassination attempt, when a bullet pierced through my ear. But God saved me because my purpose is to ""make America great again"".",,,,,
"Obama, you're fired.",,,,,
"On social platforms, be real, not perfect.",,,,,
One of the key problems today is that politics is such a disgrace. Good people don't go into government.,,,,,
"one of the most powerful men in Europe... He's a very non-controversial person, right? Very shy.",2020.10.29,,,,
"Our country is in serious trouble. We don't have victories any more. We used to have victories but [now] we don't have them. When was the last time anybody saw us beating, let's say, China, in a trade deal? They kill us. I beat China all the time. All the time.",2015.06.15,,Campaign launch rally,,
Our trade deals are horrible. They're not in our best interests.,,,,,
Owning a great golf course gives you great power.,,,,,
"Part of being a winner is knowing when enough is enough. Sometimes you have to give up the fight and walk away, and move on to something that's more productive.",,,,,
"People love me. And you know what, I have been very successful. Everybody loves me.",,,,,
Political correctness is crippling us on social media.,,,,,
"Politicians are all talk, no action.",,,,,
"Politicians can't manage the country, because they haven't been honest with the public.",,,,,
Politicians can't manage. All they can do is talk.,,,,,
"Reclaiming our Republic has not been easy. In the last eight years, I have been targeted more than any other US President in the 250-year history of our country.",,,,,
"Remember two things. Number one, I said, we're going to be saying Christmas again. And, number two, I said I was going to give you a Christmas present.",,,,,"Trump said this on February 6, 2018. Merry damn Christmas."
"Remember, there is no such thing as an unrealistic goal, only unrealistic time frames.",,,,,
"Russia will have much greater respect for our country when I am leading it than when other people have led it…If Putin likes Donald Trump, I consider that an asset, not a liability, because we have a horrible relationship with Russia.",2017.01.11,,Trump Tower Press Conference,,
"She does have a very nice figure... If [Ivanka] weren't my daughter, perhaps I'd be dating her.",1990.09,,,Vanity Fair,
Show me someone with no ego and I'll show you a big loser.,2004,,,Trump: How To Get Rich,
Showing gratitude is one of the simplest yet most powerful things humans can do for each other.,,,,,
So please get your asses out tomorrow and vote.,,,,,
So they're investigating something that never happened.,2017.08.10,,Press Conference,,
Social media is like owning a newspaper—without the losses.,,,,,
"Sometimes by losing a battle, you find a new way to win the war.",,,,,
Sometimes you have to toot your own horn because nobody else is going to do it.,,,,,
"Sometimes you need conflict in order to come up with a solution. Through weakness, oftentimes, you can't make the right sort of settlement, so I'm aggressive, but I also get things done, and in the end, everybody likes me.",,,,,
Sometimes your best investments are the ones you don't make.,,,,,
"Sorry losers and haters, but my IQ is one of the highest - and you all know it! Please don't feel so stupid or insecure, it's not your fault.",2013.05.09,,,Twitter,
"Success in business requires training and discipline and hard work. But if you're not frightened by these things, the opportunities are just as great today as they ever were.",,,,,
"Surround yourself with people who take their work seriously, but not themselves, those who work hard and play hard.",,,,,
"That just shows when you get good ratings, you can say anything.",,,,,
That may be the best idea of all…I am the Trump of Palm Beach.,,,,,
"That's one of the nice things. I mean, part of the beauty of me is that I'm very rich. So if I need $600 million, I can put $600 million myself. That's a huge advantage. I must tell you, that's a huge advantage over the other candidates.",,,,,
The best leaders have a high consideration factor. They really care about people.,,,,,
The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,2012.10.06,,,Twitter,
"The concept of shaking hands is absolutely terrible, and statistically I've been proven right.",2004.10,,,Playboy,
The country is doing well in so many ways. But there's such divisiveness.,,,,,
The country needs to be run as a business.,,,,,
The fact that I'm a star and you're not speaks volumes about how great I am at social media.,,,,,
The Golden Age of America has begun as of right now.,,,,,
"The harder I work, the luckier I get.",,,,,
"The line of 'Make America great again,' the phrase, that was mine, I came up with it about a year ago, and I kept using it, and everybody's using it, they are all loving it. I don't know, I guess I should copyright it, maybe I have copyrighted it.",2015.03,,,MyFox New York,"""Let's Make America Great Again"" was one of Ronald Reagan's most well-known campaign slogans"
The media invented the term 'fake news' to discredit this presidency.,,,,,
"The media love to give history lessons. Donald Trump does not. I want to make history, not write history.",,,,,
The most basic duty of government is to defend the lives of its own citizens. Any government that fails to do so is a government unworthy to lead.,,,,,
"The only card she has is the woman's card. She's got nothing else to offer and frankly, if Hillary Clinton were a man, I don't think she'd get 5 percent of the vote. The only thing she's got going is the woman's card, and the beautiful thing is, women don't like her.",2016.04.26,,,Vox,
The past does not have to define the future.,,,,,
The point is that you can't be too greedy.,,,,,
The press has no idea how corrupt the political system is.,,,,,
"The problems ahead are solvable, but not if we continue to let them fester.",,,,,
The rest of the world will envy us.,,,,,
"The sea is life's greatest teacher, teaching us things we never thought we needed to know.",,,,,
"The silent majority is back, and we're going to take our country back.",,,,,
The true measure of a brand is the value it brings to its community.,,,,,
The U.S. cannot allow EBOLA-infected people back. People that go to far away places to help out are great - but must suffer the consequences!,2014.09.02,,,Twitter,
"There are those that say they have never seen the Queen have a better time, a more animated time.",2019.05.07,,,,
"There will be sweeping changes, starting with the vicious weaponisation of the Justice department.",,,,,
